,epochs,training_time,train_loss,val_loss
0,1,0:26:35,0.6076738220865973,0.5224983141874708
1,2,0:26:34,0.37825971946522075,0.4907902924657694
2,3,0:26:30,0.2512735563093691,0.574051289334655
